Age,Gender,Time_Spent,Product_Category,Number_of_Items_Viewed,Device_Used,Purchased
31,Male,38,Electronics,4,Mobile,0
51,Female,34,Books,18,Tablet,0
58,Female,40,Books,13,Desktop,0
20,Female,12,Clothing,17,Mobile,1
63,Female,35,Clothing,19,Desktop,1
38,Male,31,Electronics,7,Desktop,0
33,Male,21,Books,11,Desktop,0
23,Female,41,Books,4,Desktop,0
23,Female,18,Clothing,19,Mobile,1
55,Male,15,Electronics,17,Tablet,1
55,Female,17,Books,19,Desktop,0
28,Male,43,Electronics,16,Mobile,0
21,Female,33,Electronics,3,Desktop,1
52,Male,31,Electronics,15,Mobile,0
53,Female,18,Books,12,Mobile,1
21,Female,9,Clothing,18,Mobile,0
55,Female,38,Clothing,13,Tablet,0
36,Male,22,Electronics,8,Tablet,0
28,Female,46,Clothing,12,Tablet,1
20,Male,26,Electronics,10,Mobile,1
55,Male,29,Books,7,Mobile,0
55,Male,47,Electronics,6,Tablet,1
38,Male,16,Clothing,4,Mobile,1
51,Female,13,Books,9,Desktop,0
56,Female,16,Books,1,Tablet,1
20,Male,10,Electronics,5,Mobile,0
38,Female,21,Electronics,15,Desktop,0
39,Male,44,Books,1,Mobile,1
29,Female,28,Clothing,6,Tablet,0
64,Male,16,Electronics,5,Mobile,1
18,Female,49,Electronics,2,Tablet,1
36,Male,7,Books,14,Tablet,1
28,Male,6,Books,8,Desktop,0
24,Male,41,Electronics,10,Tablet,1
39,Male,10,Books,1,Tablet,1
56,Male,33,Electronics,5,Desktop,0
57,Male,41,Electronics,8,Desktop,1
24,Male,30,Clothing,17,Tablet,1
46,Female,41,Books,5,Tablet,0
33,Female,47,Electronics,4,Mobile,0
62,Male,22,Electronics,8,Tablet,0
45,Male,45,Books,13,Desktop,0
39,Female,32,Books,5,Mobile,1
58,Female,18,Electronics,1,Desktop,1
36,Female,29,Clothing,6,Mobile,1
53,Female,28,Electronics,12,Mobile,1
56,Male,8,Clothing,11,Desktop,1
36,Female,13,Electronics,6,Tablet,1
36,Female,42,Clothing,8,Mobile,0
49,Male,20,Electronics,2,Tablet,1
60,Female,36,Clothing,10,Desktop,0
53,Male,43,Electronics,10,Desktop,0
43,Male,46,Books,10,Tablet,0
20,Female,41,Clothing,4,Mobile,1
52,Female,12,Clothing,12,Mobile,1
18,Male,26,Books,5,Desktop,0
54,Male,41,Clothing,16,Mobile,0
45,Male,37,Clothing,3,Mobile,0
50,Female,25,Clothing,3,Tablet,1
47,Female,30,Electronics,1,Mobile,0
57,Male,18,Books,9,Desktop,0
37,Male,33,Electronics,1,Desktop,0
26,Female,38,Clothing,17,Tablet,1
31,Female,29,Electronics,18,Desktop,1
50,Female,32,Books,2,Tablet,1
43,Male,35,Clothing,10,Tablet,1
41,Female,38,Clothing,2,Desktop,1
36,Male,48,Books,18,Desktop,1
36,Female,35,Books,15,Tablet,1
51,Male,11,Books,5,Tablet,1
28,Female,13,Books,5,Tablet,0
27,Female,36,Clothing,11,Tablet,0
47,Male,23,Electronics,8,Desktop,0
26,Female,49,Books,1,Tablet,1
18,Female,38,Electronics,11,Desktop,1
31,Male,10,Books,6,Tablet,1
43,Female,34,Books,14,Desktop,0
25,Male,39,Clothing,3,Mobile,1
29,Male,26,Electronics,13,Desktop,0
64,Female,10,Books,12,Desktop,0
53,Female,35,Clothing,3,Mobile,1
28,Male,33,Electronics,15,Mobile,0
36,Female,19,Books,10,Tablet,1
27,Female,26,Electronics,8,Desktop,0
33,Male,37,Clothing,14,Desktop,1
46,Female,7,Books,9,Mobile,0
59,Female,25,Clothing,5,Tablet,1
35,Male,7,Clothing,2,Tablet,1
52,Male,39,Electronics,13,Tablet,0
39,Male,17,Electronics,15,Desktop,0
35,Male,25,Books,16,Mobile,0
42,Male,42,Clothing,18,Desktop,0
64,Female,8,Books,10,Tablet,1
48,Male,30,Clothing,14,Mobile,1
29,Male,18,Clothing,5,Mobile,1
41,Male,20,Books,17,Desktop,0
42,Female,21,Clothing,16,Mobile,0
35,Male,27,Books,12,Mobile,0
22,Male,13,Clothing,1,Tablet,1
59,Female,17,Electronics,6,Mobile,1
43,Female,36,Electronics,4,Mobile,0
20,Male,32,Books,12,Mobile,1
58,Female,41,Books,4,Desktop,1
43,Male,38,Electronics,6,Mobile,0
23,Female,24,Books,15,Desktop,0
55,Female,17,Clothing,19,Mobile,1
49,Male,25,Clothing,7,Mobile,1
53,Female,9,Clothing,8,Desktop,1
55,Male,15,Books,2,Mobile,1
25,Male,45,Books,14,Tablet,0
45,Male,32,Books,16,Tablet,1
60,Male,28,Clothing,17,Mobile,0
41,Male,15,Electronics,3,Desktop,0
54,Male,5,Clothing,17,Mobile,1
35,Female,23,Electronics,2,Tablet,0
62,Male,7,Books,8,Mobile,0
47,Male,46,Electronics,9,Mobile,0
53,Female,27,Electronics,1,Tablet,1
46,Female,20,Clothing,3,Desktop,0
53,Female,14,Books,19,Tablet,0
29,Female,38,Electronics,10,Desktop,0
58,Male,42,Books,3,Desktop,1
28,Male,42,Books,14,Mobile,0
43,Female,43,Clothing,14,Tablet,0
49,Female,10,Books,3,Desktop,0
27,Female,12,Books,3,Tablet,1
23,Female,42,Clothing,12,Mobile,1
31,Male,17,Electronics,4,Mobile,1
52,Male,24,Clothing,17,Mobile,1
55,Male,46,Clothing,4,Desktop,1
55,Male,29,Clothing,7,Tablet,0
24,Male,20,Books,18,Tablet,1
40,Male,8,Books,17,Tablet,0
31,Female,15,Books,8,Desktop,1
42,Female,35,Electronics,19,Desktop,0
39,Female,35,Clothing,17,Mobile,0
29,Male,27,Electronics,7,Desktop,1
54,Female,45,Books,3,Desktop,1
60,Male,43,Clothing,15,Mobile,1
46,Female,9,Books,5,Tablet,1
23,Female,19,Clothing,10,Desktop,1
21,Male,27,Electronics,11,Mobile,1
40,Female,39,Clothing,19,Mobile,1
28,Female,24,Books,14,Desktop,1
56,Female,33,Electronics,17,Mobile,1
29,Female,10,Books,12,Desktop,1
46,Male,16,Electronics,18,Tablet,0
28,Female,45,Clothing,9,Tablet,0
31,Female,25,Electronics,17,Mobile,1
43,Male,45,Books,7,Mobile,1
43,Male,34,Books,5,Desktop,1
21,Male,35,Clothing,3,Mobile,1
32,Male,16,Books,17,Mobile,1
49,Male,42,Books,5,Desktop,1
19,Male,19,Clothing,1,Mobile,1
20,Male,14,Clothing,9,Mobile,0
27,Female,45,Books,7,Desktop,1
48,Male,18,Clothing,4,Tablet,0
28,Female,38,Books,13,Mobile,0
60,Female,20,Clothing,10,Mobile,0
56,Male,26,Electronics,4,Mobile,1
36,Female,34,Electronics,12,Mobile,1
49,Male,31,Books,12,Desktop,1
24,Female,47,Electronics,8,Tablet,1
41,Male,13,Electronics,6,Tablet,0
44,Female,8,Clothing,16,Tablet,1
26,Female,18,Clothing,14,Mobile,1
30,Female,12,Books,12,Tablet,0
34,Male,29,Clothing,5,Tablet,1
19,Female,43,Electronics,2,Desktop,1
58,Female,31,Electronics,18,Tablet,0
50,Male,35,Electronics,7,Mobile,0
22,Female,26,Electronics,17,Desktop,0
20,Female,47,Clothing,1,Desktop,0
18,Male,15,Electronics,2,Desktop,0
61,Male,26,Clothing,5,Desktop,0
33,Male,8,Books,17,Mobile,0
27,Female,16,Clothing,3,Tablet,0
31,Male,5,Books,2,Desktop,1
58,Male,34,Clothing,16,Tablet,0
35,Male,5,Clothing,3,Tablet,0
54,Male,35,Clothing,17,Mobile,1
21,Male,37,Electronics,12,Mobile,0
37,Male,42,Clothing,7,Mobile,0
34,Female,37,Clothing,14,Mobile,1
27,Female,5,Clothing,6,Desktop,1
53,Male,44,Books,3,Tablet,0
25,Male,24,Clothing,15,Desktop,1
44,Female,32,Electronics,11,Desktop,0
19,Female,9,Clothing,1,Mobile,1
28,Female,25,Electronics,11,Tablet,1
19,Male,39,Electronics,3,Mobile,1
22,Female,17,Clothing,8,Mobile,1
54,Male,30,Clothing,8,Desktop,0
45,Male,13,Electronics,16,Mobile,0
44,Male,16,Clothing,18,Mobile,0
55,Male,22,Electronics,17,Mobile,1
31,Female,17,Clothing,9,Mobile,1
41,Male,7,Books,2,Mobile,0
48,Male,44,Clothing,2,Desktop,0
24,Male,32,Clothing,15,Mobile,0
20,Female,36,Electronics,12,Tablet,1
57,Female,34,Clothing,6,Tablet,1
40,Male,35,Clothing,19,Mobile,0
48,Female,43,Books,12,Tablet,0
22,Male,30,Books,8,Tablet,0
55,Male,47,Electronics,12,Mobile,0
25,Female,37,Books,13,Mobile,0
29,Female,27,Clothing,4,Tablet,1
28,Female,49,Books,1,Mobile,1
26,Female,10,Electronics,13,Desktop,0
35,Male,10,Clothing,11,Mobile,1
55,Female,44,Books,4,Mobile,0
34,Female,21,Books,19,Tablet,1
21,Male,14,Clothing,4,Desktop,0
20,Female,27,Clothing,13,Mobile,1
31,Male,35,Clothing,9,Mobile,0
21,Female,18,Clothing,16,Desktop,0
60,Male,31,Electronics,17,Tablet,0
45,Female,41,Books,17,Tablet,0
23,Female,38,Books,7,Desktop,1
31,Female,22,Clothing,2,Desktop,1
36,Female,38,Clothing,2,Mobile,1
43,Male,23,Clothing,8,Mobile,0
41,Male,40,Books,7,Tablet,0
59,Female,7,Electronics,12,Tablet,1
28,Female,35,Clothing,15,Desktop,0
59,Male,22,Clothing,15,Tablet,0
32,Male,30,Clothing,12,Mobile,0
53,Male,42,Electronics,6,Mobile,0
43,Female,9,Clothing,2,Desktop,0
57,Male,38,Books,14,Desktop,0
45,Male,46,Clothing,17,Desktop,0
51,Female,43,Clothing,18,Tablet,1
48,Male,38,Books,12,Tablet,0
24,Female,42,Clothing,19,Tablet,0
29,Female,36,Electronics,5,Desktop,1
21,Male,6,Clothing,15,Mobile,1
36,Female,48,Clothing,2,Tablet,0
40,Female,41,Books,10,Mobile,0
48,Female,23,Electronics,1,Tablet,0
58,Female,48,Books,8,Desktop,0
22,Female,21,Books,4,Mobile,0
22,Male,17,Electronics,8,Tablet,1
23,Female,39,Books,11,Mobile,1
32,Female,35,Books,4,Mobile,0
45,Female,15,Electronics,4,Mobile,1
19,Female,9,Electronics,13,Desktop,1
33,Female,10,Electronics,2,Tablet,0
19,Female,29,Clothing,2,Desktop,1
18,Male,38,Electronics,17,Desktop,0
18,Male,12,Books,16,Tablet,0
60,Female,33,Books,3,Tablet,1
53,Female,23,Clothing,8,Mobile,0
36,Female,13,Clothing,12,Desktop,1
28,Male,30,Electronics,14,Desktop,1
19,Male,8,Books,7,Mobile,1
21,Female,39,Electronics,8,Mobile,0
55,Male,35,Electronics,1,Mobile,1
61,Male,27,Electronics,9,Desktop,0
20,Female,26,Books,10,Tablet,0
21,Female,20,Books,12,Desktop,1
24,Female,18,Electronics,6,Mobile,0
24,Male,37,Clothing,2,Mobile,1
35,Male,38,Books,2,Tablet,1
22,Male,12,Books,5,Desktop,0
37,Male,6,Clothing,9,Mobile,0
60,Female,6,Clothing,15,Mobile,0
49,Male,32,Electronics,10,Tablet,1
60,Male,43,Clothing,15,Desktop,0
33,Female,13,Clothing,12,Desktop,1
59,Female,10,Electronics,19,Mobile,1
40,Female,23,Books,16,Tablet,1
27,Male,39,Electronics,2,Mobile,1
38,Female,5,Books,17,Desktop,0
41,Male,5,Electronics,13,Tablet,0
33,Female,7,Electronics,9,Desktop,1
37,Female,16,Clothing,6,Mobile,0
36,Female,48,Electronics,4,Tablet,1
41,Female,22,Clothing,8,Mobile,1
18,Male,32,Clothing,16,Tablet,0
34,Female,35,Books,18,Tablet,1
58,Male,11,Electronics,6,Tablet,1
27,Male,45,Books,7,Mobile,1
51,Male,43,Books,14,Desktop,0
53,Female,25,Electronics,3,Desktop,1
27,Female,5,Books,17,Desktop,0
60,Female,7,Books,2,Tablet,0
23,Female,26,Electronics,10,Mobile,1
54,Male,29,Books,6,Tablet,0
57,Male,17,Electronics,8,Tablet,0
41,Male,30,Books,13,Desktop,1
46,Male,38,Clothing,11,Tablet,1
64,Female,25,Electronics,14,Tablet,0
64,Female,17,Clothing,3,Mobile,1
47,Female,13,Clothing,5,Tablet,1
52,Female,25,Clothing,13,Desktop,1
59,Female,15,Clothing,11,Tablet,1
48,Female,14,Clothing,1,Mobile,0
59,Male,5,Clothing,9,Tablet,1
59,Male,35,Electronics,10,Tablet,0
46,Male,7,Electronics,13,Mobile,0
57,Male,49,Electronics,12,Mobile,0
34,Male,36,Books,2,Desktop,1
51,Male,16,Electronics,19,Mobile,1
49,Female,11,Clothing,17,Tablet,0
30,Female,27,Books,14,Desktop,1
45,Female,33,Clothing,10,Desktop,0
43,Male,8,Books,9,Tablet,1
47,Female,10,Electronics,5,Desktop,0
22,Male,44,Clothing,12,Mobile,1
61,Female,11,Electronics,19,Desktop,0
57,Male,14,Books,11,Desktop,0
44,Male,23,Electronics,15,Mobile,1
30,Male,14,Electronics,5,Tablet,0
59,Male,42,Electronics,7,Mobile,1
63,Male,12,Clothing,13,Tablet,0
46,Male,16,Clothing,5,Desktop,0
26,Male,20,Electronics,4,Desktop,1
20,Female,11,Electronics,17,Tablet,0
25,Female,12,Clothing,16,Mobile,0
33,Female,37,Electronics,16,Desktop,1
18,Male,9,Electronics,4,Tablet,0
29,Male,32,Electronics,12,Mobile,0
55,Female,10,Electronics,15,Mobile,1
19,Female,29,Books,4,Mobile,0
44,Male,19,Clothing,10,Desktop,1
18,Female,26,Electronics,8,Mobile,0
44,Male,17,Electronics,3,Mobile,1
41,Male,9,Clothing,11,Mobile,0
28,Female,6,Electronics,19,Desktop,1
22,Male,6,Electronics,4,Mobile,1
55,Male,16,Electronics,13,Desktop,1
36,Female,14,Books,10,Mobile,1
58,Male,20,Clothing,10,Mobile,1
45,Female,27,Electronics,7,Tablet,1
32,Male,15,Clothing,13,Desktop,1
40,Male,7,Electronics,7,Mobile,1
19,Female,31,Electronics,3,Tablet,1
40,Male,12,Clothing,8,Tablet,1
60,Female,19,Books,7,Tablet,1
39,Female,11,Clothing,13,Tablet,1
35,Male,27,Books,4,Mobile,1
62,Male,36,Electronics,15,Desktop,0
32,Female,25,Clothing,16,Mobile,0
20,Male,38,Books,13,Tablet,0
60,Female,48,Books,14,Tablet,1
24,Male,35,Electronics,3,Desktop,0
25,Male,16,Clothing,11,Mobile,1
30,Female,46,Clothing,8,Tablet,1
52,Female,18,Books,12,Tablet,0
54,Male,48,Books,9,Tablet,1
54,Female,21,Electronics,2,Desktop,0
44,Female,38,Clothing,10,Tablet,1
26,Male,29,Clothing,17,Desktop,0
23,Male,35,Clothing,10,Mobile,1
62,Female,21,Clothing,3,Desktop,1
39,Female,45,Books,10,Mobile,1
56,Female,12,Clothing,13,Mobile,0
32,Female,8,Books,6,Desktop,1
28,Female,42,Clothing,11,Mobile,1
30,Female,41,Electronics,3,Mobile,0
29,Female,25,Electronics,12,Mobile,0
51,Female,37,Clothing,9,Mobile,0
57,Male,20,Clothing,7,Mobile,0
56,Female,47,Clothing,5,Tablet,0
59,Female,43,Clothing,14,Desktop,1
49,Female,8,Clothing,2,Mobile,0
33,Female,21,Clothing,9,Tablet,1
21,Male,39,Clothing,5,Tablet,1
57,Female,28,Books,9,Mobile,0
30,Male,25,Clothing,6,Desktop,0
19,Female,10,Clothing,7,Mobile,1
57,Female,21,Electronics,11,Tablet,0
42,Male,23,Books,8,Tablet,0
50,Male,27,Books,17,Tablet,0
45,Female,32,Electronics,18,Desktop,1
31,Male,48,Electronics,4,Desktop,1
46,Male,46,Books,3,Tablet,0
25,Female,10,Clothing,5,Mobile,0
40,Male,36,Clothing,19,Tablet,1
45,Male,37,Books,6,Desktop,0
25,Male,25,Electronics,13,Mobile,0
57,Male,20,Books,12,Mobile,0
36,Female,41,Clothing,17,Tablet,1
35,Female,17,Clothing,10,Desktop,1
34,Male,22,Clothing,6,Mobile,0
25,Female,5,Clothing,2,Mobile,1
59,Male,16,Electronics,13,Tablet,0
53,Male,15,Clothing,1,Desktop,1
48,Male,35,Books,2,Tablet,0
30,Female,35,Electronics,12,Desktop,0
39,Male,40,Electronics,2,Mobile,1
48,Female,30,Books,14,Tablet,0
27,Female,33,Clothing,7,Tablet,0
27,Male,49,Clothing,10,Desktop,1
31,Female,21,Clothing,17,Desktop,1
38,Male,17,Books,15,Desktop,0
57,Male,32,Books,10,Mobile,1
27,Male,44,Clothing,13,Mobile,0
38,Male,31,Clothing,19,Desktop,0
21,Male,28,Clothing,11,Mobile,0
33,Female,27,Books,7,Desktop,0
39,Female,20,Books,3,Tablet,1
21,Male,15,Clothing,1,Mobile,1
26,Female,12,Clothing,13,Desktop,1
30,Male,17,Books,17,Tablet,1
51,Male,6,Books,17,Tablet,0
35,Male,24,Clothing,13,Tablet,1
35,Female,36,Clothing,4,Desktop,0
53,Female,24,Clothing,6,Mobile,1
23,Male,24,Books,16,Tablet,1
48,Female,10,Electronics,6,Tablet,1
41,Male,32,Clothing,9,Mobile,0
20,Male,36,Electronics,1,Desktop,1
47,Male,8,Clothing,8,Mobile,0
45,Female,11,Books,6,Mobile,1
25,Female,40,Books,15,Tablet,0
62,Female,28,Clothing,7,Desktop,0
33,Male,29,Electronics,14,Mobile,0
54,Female,34,Electronics,6,Mobile,0
57,Male,36,Clothing,3,Tablet,0
20,Female,48,Books,3,Desktop,1
20,Male,14,Electronics,11,Mobile,0
64,Male,5,Books,11,Mobile,1
53,Male,23,Clothing,4,Mobile,1
18,Female,31,Books,5,Mobile,1
32,Female,44,Clothing,3,Desktop,0
58,Male,49,Books,12,Desktop,0
37,Female,26,Electronics,5,Tablet,1
58,Female,29,Clothing,2,Desktop,0
46,Female,32,Books,17,Mobile,1
19,Female,42,Books,18,Mobile,0
55,Female,9,Electronics,1,Desktop,0
55,Female,15,Books,2,Tablet,0
51,Male,42,Books,7,Desktop,1
49,Male,23,Clothing,6,Tablet,1
34,Female,21,Books,18,Mobile,0
51,Male,42,Electronics,1,Tablet,0
37,Female,43,Clothing,1,Mobile,0
31,Female,37,Electronics,9,Mobile,0
21,Female,44,Electronics,4,Mobile,1
33,Female,25,Clothing,6,Desktop,0
59,Female,45,Electronics,17,Mobile,0
40,Female,22,Clothing,9,Desktop,1
29,Female,18,Electronics,10,Desktop,0
22,Male,34,Electronics,3,Desktop,0
59,Female,26,Electronics,3,Desktop,0
45,Female,26,Clothing,5,Tablet,1
62,Male,28,Clothing,13,Tablet,1
47,Male,47,Electronics,3,Desktop,0
20,Female,9,Electronics,4,Mobile,1
28,Male,42,Electronics,15,Mobile,0
61,Male,44,Books,5,Desktop,0
31,Male,9,Electronics,8,Mobile,1
19,Male,48,Books,10,Mobile,1
49,Male,33,Electronics,14,Tablet,1
28,Male,22,Electronics,4,Desktop,0
61,Male,18,Electronics,10,Mobile,0
37,Male,32,Books,15,Tablet,0
26,Male,24,Clothing,17,Tablet,1
21,Male,22,Electronics,2,Tablet,0
22,Female,24,Electronics,10,Desktop,0
51,Female,47,Books,5,Mobile,0
45,Female,26,Clothing,11,Desktop,1
30,Female,38,Electronics,7,Mobile,1
61,Female,47,Books,10,Desktop,0
48,Male,9,Clothing,4,Desktop,0
22,Female,49,Clothing,4,Mobile,0
62,Female,12,Electronics,13,Mobile,0
18,Male,12,Clothing,11,Mobile,0
40,Female,44,Electronics,9,Tablet,0
51,Female,8,Books,9,Tablet,0
33,Female,43,Books,2,Mobile,1
33,Male,7,Books,10,Desktop,0
55,Male,5,Clothing,18,Mobile,0
48,Male,40,Electronics,6,Mobile,1
28,Male,49,Electronics,18,Desktop,1
43,Male,32,Books,16,Tablet,1
28,Female,37,Books,18,Desktop,1
59,Male,23,Electronics,7,Mobile,1
27,Female,39,Electronics,3,Desktop,1
26,Female,28,Books,4,Mobile,1
21,Female,20,Electronics,5,Mobile,1
45,Male,48,Electronics,10,Mobile,0
61,Male,29,Clothing,10,Tablet,0
46,Female,14,Books,12,Tablet,0
56,Female,9,Electronics,1,Desktop,0
20,Female,43,Electronics,17,Mobile,1
59,Male,17,Books,4,Mobile,0
63,Female,43,Books,4,Tablet,1
36,Male,45,Books,10,Tablet,0
38,Male,13,Electronics,1,Tablet,0
43,Male,36,Clothing,8,Desktop,0
37,Female,24,Electronics,16,Desktop,0
46,Male,12,Books,12,Mobile,0
31,Male,42,Books,7,Mobile,0
35,Female,15,Electronics,16,Desktop,0
20,Male,11,Books,18,Mobile,1
47,Female,10,Clothing,1,Desktop,0
37,Female,17,Books,12,Desktop,0
57,Male,18,Clothing,2,Desktop,0
43,Male,40,Clothing,11,Desktop,1
55,Male,40,Clothing,9,Mobile,0
56,Female,31,Clothing,13,Desktop,0
57,Male,41,Electronics,18,Mobile,0
54,Male,18,Clothing,16,Tablet,0
28,Female,7,Electronics,3,Mobile,0
36,Female,39,Books,2,Desktop,0
38,Male,31,Clothing,1,Desktop,0
45,Male,29,Books,3,Desktop,1
44,Female,19,Clothing,1,Tablet,1
18,Female,26,Electronics,18,Mobile,1
19,Female,18,Books,5,Desktop,1
51,Female,35,Electronics,17,Tablet,1
48,Male,20,Clothing,4,Desktop,1
28,Female,29,Electronics,17,Mobile,1
64,Male,47,Clothing,10,Mobile,0
57,Female,48,Electronics,4,Tablet,0
31,Male,36,Electronics,7,Mobile,0
26,Male,16,Clothing,3,Desktop,1
57,Female,42,Clothing,16,Desktop,0
41,Male,17,Clothing,6,Desktop,0
31,Female,22,Electronics,5,Tablet,1
34,Male,48,Clothing,9,Mobile,1
28,Female,34,Clothing,4,Desktop,0
51,Male,12,Clothing,15,Tablet,1
30,Female,5,Electronics,9,Mobile,1
54,Male,17,Books,13,Tablet,1
38,Female,28,Clothing,1,Desktop,1
55,Male,42,Electronics,12,Desktop,0
61,Female,30,Electronics,19,Mobile,1
49,Female,22,Books,11,Mobile,1
52,Female,35,Clothing,7,Tablet,0
55,Male,21,Clothing,5,Mobile,0
43,Male,46,Electronics,17,Desktop,1
26,Female,40,Clothing,16,Desktop,1
51,Male,40,Clothing,1,Tablet,0
51,Male,19,Books,9,Mobile,1
